區域,序號,店名,地址
八德區,1,拉亞漢堡(八德介壽),334桃園市八德區介壽路一段756號
八德區,2,豐米便當(和平店),334桃園市八德區和平路112號
八德區,3,金翔鴻西點麵包,334桃園市八德區興豐路290號
八德區,4,新豐自助餐,334桃園市八德區興豐路779號
八德區,5,拉亞漢堡(八德中正店),334桃園市八德區中正路178號
八德區,6,拉亞漢堡(八德豐德店),334桃園市八德區豐德一路10號
大園區,7,田園小吃,337桃園市大園區大觀路33之1號
大園區,8,錢糖潮茶飲雞排,337桃園市大園區中山北路28號
大園區,9,尚?島早餐店,337桃園市大園區中山南路271號
大園區,10,大麥專業烘焙坊,337桃園市大園區?林里?林路16號
大園區,11,八方雲集(新興店),337桃園市大園區新興路128號
大園區,12,拉亞漢堡(青埔高鐵店),337桃園市大園區高鐵南路一段113號
大園區,13,上野烤肉飯(太禾飲食店),337桃園市大園區中正東路158之1號
大園區,14,豐米便當,337桃園市大園區中正東路176號
大園區,15,一魂府燒便當(阜華商行),337桃園市大園區中正東路192號
大園區,16,淞林便當,337桃園市大園區青山里春德路21號
大園區,17,二姊的店,337桃園市大園區中山南路259號
大園區,18,周爸爸米粉湯,337桃園市大園區中正三街
大園區,19,南台灣土魠魚羹(承憲餐飲),337桃園市大園區中山南路201號
大園區,20,墨爾漢堡(米奇早餐店),337桃園市大園區大成路二段45號
大園區,21,真味早點,337桃園市大園區中山南路一段110號
大園區,22,布穀鳥早餐,337桃園市大園區中正西路60號
大園區,23,甜心碗粿,337桃園市大園區新興路182號
大園區,24,鎮發餅店,337桃園市大園區中山北路38號
大園區,25,船仔頭手工愛玉,337桃園市大園區中華路38號
大園區,26,日船章魚小丸子,337桃園市大園區大觀路7號
大園區,27,怡好小吃店,337桃園市大園區中正東路79號
大園區,28,先麥自助美食坊,337桃園市大園區?林里?林路6號1樓
大溪區,29,大成美而美,335桃園市大溪區中央路129號
大溪區,30,早安美芝城,335桃園市大溪區內柵路一段1號
大溪區,31,雅格麵包坊,335桃園市大溪區民權東路74號1樓
大溪區,32,游記百年油飯,335桃園市大溪區民權路17號
大溪區,33,喨舖美食,335桃園市大溪區自強街52號
大溪區,34,越南鴨肉,335桃園市大溪區康莊路159號
大溪區,35,阿弟仔銅板小吃,335桃園市大溪區復興路2段761號
大溪區,36,大綜飲食店,335桃園市大溪區慈湖路113號
大溪區,37,拉亞漢堡(大溪仁中店),335桃園市大溪區仁和七街40號
大溪區,38,拉亞漢堡(大溪老街店),335桃園市大溪區康莊路101號
大溪區,39,拉亞漢堡(大溪員林店),335桃園市大溪區員林路一段191號
中壢區,40,塔塔家法式點心坊,320桃園市中壢區三光路327號
中壢區,41,阿潭的店(中山店),320桃園市中壢區中山東路3段88號
中壢區,42,鳴心越南牛肉河粉,320桃園市中壢區中央東路144號
中壢區,43,綠旺有限公司（中園店,320桃園市中壢區中園路112號
中壢區,44,牛老闆牛肉麵,320桃園市中壢區永福路801號
中壢區,45,一品魚麵,320桃園市中壢區成章二街584號
中壢區,46,穎川園,320桃園市中壢區志廣路71號
中壢區,47,弘爺早餐店,320桃園市中壢區長興街27號
中壢區,48,福兒小鍋,320桃園市中壢區義民路121號1樓
中壢區,49,龍東活力餐飲店,320桃園市中壢區龍東路142號
中壢區,50,牛小恬牛肉麵,320桃園市中壢區新生路182號
中壢區,51,城市漢堡(元智大學店),320桃園市中壢區遠東路73號
中壢區,52,城市漢堡(環西店),320桃園市中壢區環西路二段416號
中壢區,53,八方雲集(健行店),320桃園市中壢區健行路209號
中壢區,54,八方雲集(中壢福州二店),320桃園市中壢區福州二街477號
中壢區,55,八方雲集(中原店),320桃園市中壢區中北路176號
中壢區,56,嘉興小店,320桃園市中壢區嘉興街6號
中壢區,57,良盛餐館,320桃園市中壢區華美一路130號
中壢區,58,億鄉麵包店,320桃園市中壢區吉長二街10巷1號
中壢區,59,拉亞漢堡(中壢成章店),320桃園市中壢區成章二街472號
中壢區,60,拉亞漢堡(中壢長春店),320桃園市中壢區長春路106號
中壢區,61,拉亞漢堡(中壢九和店),320桃園市中壢區九和六街8號
中壢區,62,拉亞漢堡(內壢榮安店),320桃園市中壢區榮安一街216號
中壢區,63,拉亞漢堡(內壢高中店),320桃園市中壢區成章四街102號
中壢區,64,拉亞漢堡(內壢永福店),320桃園市中壢區永福路928號
中壢區,65,拉亞漢堡(內壢元智店),320桃園市中壢區興仁里興安一街8巷7號
中壢區,66,拉亞漢堡(內壢後站店),320桃園市中壢區莊敬路38-1號
中壢區,67,拉亞漢堡(中壢環東中山店),320桃園市中壢區中山東路2段196號
中壢區,68,拉亞漢堡(中壢中北店),320桃園市中壢區中北路二段1號
中壢區,69,拉亞漢堡(中壢松義店),320桃園市中壢區松義三街252號
中壢區,70,拉亞漢堡(中壢南園店),320桃園市中壢區南園二路296巷48號
中壢區,71,拉亞漢堡(中壢中原店),320桃園市中壢區大仁街12號
中壢區,72,拉亞漢堡(中壢三光店),320桃園市中壢區三光路21號
中壢區,73,拉亞漢堡(中壢後寮店),320桃園市中壢區後寮一路162號
中壢區,74,滷都香健行店,320桃園市中壢區健行路208號1樓
中壢區,75,拉亞漢堡(中壢華美),320桃園市中壢區華美一路41號
中壢區,76,星星美式炸雞,320桃園市中壢區林森路175號
中壢區,77,珍味自助餐東池飯包,324桃園市平鎮區中豐路山頂段150號
中壢區,78,弘爺漢堡龍豐店,324桃園市平鎮區中豐路山頂段75-1號
中壢區,79,平東西點麵包,324桃園市平鎮區平東路260號 
中壢區,80,富翔西點飲品坊,324桃園市平鎮區自由街157號
中壢區,81,元坊蛋糕店,324桃園市平鎮區育達路129號
中壢區,82,梅亭小吃店,324桃園市平鎮區和平路212號
中壢區,83,阿潭的店(金陵店),324桃園市平鎮區金陵路3段10號
中壢區,84,芊芯西點麵包店,324桃園市平鎮區金陵路三段97之1號
中壢區,85,台北永和豆漿,324桃園市平鎮區南平路218號
中壢區,86,翁元益食品行,324桃園市平鎮區南豐路15號
中壢區,87,壢鑫鵝肉店,324桃園市平鎮區廣泰路118號
中壢區,88,弘爺漢堡(育達店),324桃園市平鎮區育達路145號
中壢區,89,弘爺漢堡(南勢店),324桃園市平鎮區中豐路南勢二段218號
中壢區,90,拉亞漢堡(平鎮豐頂店),324桃園市平鎮區中豐路山頂段204號
中壢區,91,拉亞漢堡(平鎮莎奇拉雅店),324桃園市平鎮區廣泰路281號
中壢區,92,拉亞漢堡(平鎮廣德店),324桃園市平鎮區廣德街71號
中壢區,93,拉亞漢堡(平鎮廣泰店),324桃園市平鎮區廣泰路236號
中壢區,94,拉亞漢堡(平鎮中山店),324桃園市平鎮區中山路69號
中壢區,95,拉亞漢堡(平鎮廣平店),324桃園市平鎮區廣平街173號
中壢區,96,劉妹鍋燒意麵(桃園平鎮店),324桃園市平鎮區南華街3號1樓
中壢區,97,大飽口福(大有店),330桃園市桃園區大有路543號
中壢區,98,麥味登桃市陽光店,330桃園市桃園區大有路573號1樓
中壢區,99,台灣小調,330桃園市桃園區大業路一段319號
中壢區,100,麥味登桃市大興店,330桃園市桃園區大興西路2段55-1號
中壢區,101,中北便當,330桃園市桃園區中山北路12號
中壢區,102,"麥味登桃市中平店	",330桃園市桃園區中平路135號
中壢區,103,鍋時代鍋燒麵專賣店,330桃園市桃園區文中路697號
中壢區,104,城市漢堡桃園民安店,330桃園市桃園區民安路124號
中壢區,105,美淇兒西點麵包坊,330桃園市桃園區永順街52號
中壢區,106,義焗兩得,330桃園市桃園區成功路2段187號1樓
中壢區,107,食全食美飲食店,330桃園市桃園區建國路25號
中壢區,108,粥師傅小吃店,330桃園市桃園區桃鶯路331號
中壢區,109,瑞麟美而美早餐店,330桃園市桃園區陽明三街10號
中壢區,110,買早餐,330桃園市桃園區龍安街6號        
中壢區,111,福山排骨便當,330桃園市桃園區縣府路222號
中壢區,112,店餃食(中山店),330桃園市桃園區中山路351號
中壢區,113,店餃食(中平店),330桃園市桃園區中州街98-86號
中壢區,114,弘爺漢堡(國聖店),330桃園市桃園區國聖一街172號
中壢區,115,陸玖炸雞炒飯炒麵,330桃園市桃園區長春路69號
中壢區,116,八方雲集(南平店),330桃園市桃園區南平路270號
中壢區,117,八方雲集(莊一店),330桃園市桃園區莊一街88號
中壢區,118,八方雲集(莊敬店),330桃園市桃園區莊敬路一段307號
中壢區,119,八方雲集(興業店),330桃園市桃園區大業路一段418號
中壢區,120,上禾味永和豆漿(大有店),330桃園市桃園區大有路486號
中壢區,121,富總快餐店,330桃園市桃園區吉昌街245號
中壢區,122,拉亞漢堡(桃園經國店),330桃園市桃園區經國路248號
