單位/機構名稱,單位/機構地址,電話,開放物資領取時間
安家實物銀行南區服務據點(中華基督教救助協會),桃園市中壢區龍慈路818號,電話:03-2174871,週一~週五08:30~12:00、13:00~17:30
安家實物銀行北區服務據點(中華安得烈慈善協會),桃園市蘆竹區大新路60號,電話:03-3238700,週一~週五08:30~12:00、13:00~17:30
桃園家庭服務中心,桃園市桃園區陽明三街33號4樓,電話:03-2182778分機21 、12,週一~週五08:30~12:00、13:00~17:30
中壢家庭服務中心,桃園市中壢區元化路159號1樓,電話:03-4220126分機30,週一~週五09:00~12:30、13:30~17:00
內壢家庭服務中心,桃園市中壢區文化二路219號4樓,電話：03-4333219,週一~週五08:00~12:00、13:00~17:00
龜山家庭服務中心,桃園市龜山區自強南路97號2樓,電話:03-3208485,週一~週五08:30~12:00、13:00~17:30
八德家庭服務中心,桃園市八德區豐德路456號2樓,電話:03-3652105,週一~週五08:30~12:00、13:00~17:30
蘆竹家庭服務中心,桃園市蘆竹區南崁路152號3樓,電話:03-2127678,週一~週五08:30~12:00、13:00~17:30
平鎮家庭服務中心,桃園市平鎮區平南里16鄰大興街66巷35號2樓,電話:03-4911910分機13,週一~週五08:30~12:00、13:00~17:30
大溪家庭服務中心,桃園市大溪區中正路56號,電話:03-3883060,週一~週五08:30~12:00、13:00~17:30
龍潭家庭服務中心,桃園市龍潭區干城路19巷30號,電話:03-4790231#20,週一~週五08:30~12:00、13:00~17:30
楊梅家庭服務中心,桃園市楊梅區大成路2號4樓,電話:03-4750067分機13、15,週一~週五08:30~12:00、13:00~17:30
大園家庭服務中心,桃園市大園區大觀路118號2樓,電話:03-3867128,週一~週五08:30~12:00、13:00~17:30
新屋家庭服務中心,桃園市新屋區中山路277號1樓,電話:03-4970225分機13、11,週一~週五08:30~12:30、13:30~17:30
觀音家庭服務中心,桃園市觀音區莊敬路188號3樓,電話:03-4732320分機11,週一~週五08:30~12:00、13:00~17:30
復興家庭服務中心,桃園市復興區羅浮68之6號,電話:03-3821110*15,週一~週五08:30~12:00、13:00~17:30
中路家庭服務中心,桃園市桃園區國豐三街123號5樓,電話：03-3700886*205,週一~週五08:30~12:00、13:00~17:30
龜山身心障礙者服務中心,桃園市龜山區同心一路5號1樓,電話:03-2133700,週一~週五08:30~12:00、13:00~17:30
平鎮身心障礙者服務中心,桃園市平鎮區延平路一段2號3樓,電話:03-4024081,週一~週五08:30~12:00、13:00~17:30
八德身心障礙者服務中心,桃園市八德區介壽路二段901巷49弄91號3樓,電話:03-3686020,週一~週五08:30~12:00、13:00~17:30
中觀身心障礙者服務中心,桃園市中壢區新明路43號5樓,電話:03-4010425,週一~週五08:30~12:00、13:00~17:30
龍大復身心障礙者服務中心,桃園市中壢區中華路一段619巷15號(暫),電話:0911-282-378,週一~週五08:30~12:00、13:00~17:30
楊新身心障礙者服務中心,桃園市楊梅區楊新路二段93號,電話:03-4880851,週一~週五08:30~12:00、13:00~17:30
蘆大身心障礙者服務中心,桃園市蘆竹區南崁路265號7樓之6,電話:0971-217-701,週一~週五08:30~12:00、13:00~17:30
桃園身心障礙者服務中心,桃園市桃園區建國路99號5樓,電話:03-3662808,週一~週五08:30~12:00、13:00~17:30
新住民家庭中心,桃園市桃園區復興路135號2樓,電話：03-3330305,週一~週五08:30~12:00、13:00~17:30
婦女培力中心,桃園市桃園區民權路69號,電話：03-3369222,週一~週五08:30~12:00、13:00~17:30
桃園市觀音區公所,桃園市觀音區觀新路56號,電話：03-4732121*305,週一~週五08:30~12:00、13:00~17:30
復興區原住民家庭服務中心,桃園市復興區羅浮里三鄰68之4號,"
電話:03-272-6995*23601-23605",週一~週五08:30~12:00、13:00~17:30
財團法人法律扶助基金會桃園分會,桃園市桃園區復興路110號12樓,"
電話:03-3346500*119",週一~週五08:30~12:00、13:00~17:30
