修惜站名稱,服務項目,展售地址,服務時間,連絡電話
桃仔園修惜站,木製傢俱修繕,330桃園市桃園區永佳街88號,週一至週五    08：00∼17：00,(03)3027566#525
木匠的家修惜站,傢俱修繕、家電修繕、二手物微百貨,320 桃園市中壢區中北路二段387-1號,週一至週六    09：30∼21：00,(03)468-3836
喀布茲修惜站,傢俱修繕、家電修繕、二手物微百貨  ,326桃園市楊梅區青山三街 77號B2,"週二至週六　12：00∼20：00
週日　　　　12：00∼17：00",(03)4642228
永平彩藝修惜站,傢俱修繕、紙黏土（捏塑）、蝶谷巴特教學、彩繪藝術,326桃園市楊梅區中山北路二段268巷16號,採預約制,"0936-923067
黃老師"
熊爸創意再生修惜站,廢鐵、廢傢俱及廢腳踏車等資源再生展售,325桃園市龍潭區九龍里五福街243巷35號,週一至週五    10：00∼19：00,0939-655423
棄而不捨修惜站,傢俱修繕,325桃園市龍潭區中興路392巷42號,週一至週五    08：00∼16：00（12：00∼13：00休息）,"(03)409-5425
0910-116877"
仁武修惜站,傢俱修繕、廢腳踏車修繕,335桃園市大溪區仁武里忠泰街36巷口,週三至週六    09：00∼15：00,"(03)380-7963
0919-235726"
三和修惜站,傢俱及木器修繕、手創藝術品,335桃園市大溪區康莊路三段671巷36號,週一至週六    09：00∼17：00,(03)388-1870
愛地球修惜站,傢俱及木器修繕、手創藝術品,324桃園市平鎮區新光路三段228巷68號1樓,週一至週六    09：00∼18：00,(03)403-0075
玩具盒子,二手的玩具 （不回收刀槍及攻擊類、絨毛娃娃和布偶、電動玩具、生活用品）,324桃園市平鎮區新富五街62號B1,週二至週六    10：00∼18：00,(03)2813097
布藝YOUNG,以廢棄丹寧為主體進行拆解製造時尚的作品，包括背包、大小提袋、帽子多項等產品,334桃園市八德區豐德路261巷11-1號,週一至週五    10：00∼16：30,"(03)368-1386
0972-195186"
