辦理單位,連絡電話,地址
桃園家庭服務中心,03-2182778,桃園區陽明三街33號4樓
中路家庭服務中心,03-3700886,桃園區國豐三街123號5樓
中壢家庭服務中心,03-4220126,中壢區元化路159號1樓
內壢家庭服務中心,03-4333219,桃園市中壢區文化二路219號4樓
平鎮家庭服務中心,03-4911910,平鎮區大興街66巷35號2樓
八德家庭服務中心,03-3652105,八德區豐德路456號2樓
楊梅家庭服務中心,03-4750067,楊梅區大成路2號4樓
蘆竹家庭服務中心,03-2127678,蘆竹區南崁路152號3樓
龜山家庭服務中心,03-3208485,龜山區自強南路97號2樓
龍潭家庭服務中心,03-4790231,龍潭區干城路19巷30號
大溪家庭服務中心,03-3883060,大溪區中正路56號
大園家庭服務中心,03-3867128#11-18,大園區大觀路118號2樓(大園區老人文康綜合活動中心2F)
新屋家庭服務中心,03-4970225,新屋區中山路277號1樓
觀音家庭服務中心,03-4732320,觀音區莊敬路188號3樓
復興家庭服務中心,03-3821110,復興區羅浮68之6號
