資源彙整機關,辦理單位,成立日期,連絡電話,傳真,電子郵件,地址,相關網址,X坐標,Y坐標,備註,最後更新時間
桃園市政府,桃園家庭服務中心 ,,(03)2182778,,,桃園市桃園區陽明三街33號4樓,,,,,20181022
桃園市政府,中壢家庭服務中心  ,,(03)4220126,,,桃園市中壢區元化路159號1樓 ,,,,,20181022
桃園市政府,平鎮家庭服務中心,,(03)4911910,,,桃園市平鎮區延平路一段168號3樓,,,,,20181022
桃園市政府,八德家庭服務中心 ,,(03)3676865,,,桃園市八德區介壽路二段73號,,,,,20181022
桃園市政府,楊梅家庭服務中心,,(03)4750067,,,桃園市楊梅區校前路324巷148號3樓,,,,,20181022
桃園市政府,蘆竹家庭服務中心,,(03)2127678,,,桃園市蘆竹區南崁路152號3樓,,,,,20181022
桃園市政府,龜山家庭服務中心  ,,(03)3208485,,,桃園市龜山區自強南路97號2樓,,,,,20181022
桃園市政府,龍潭家庭服務中心,,(03)4790231,,,桃園市龍潭區干城路19巷30號,,,,,20181022
桃園市政府,大溪家庭服務中心 ,,(03)3883060,,,桃園市大溪區中正路56號,,,,,20181022
桃園市政府,大園家庭服務中心 ,,(03)3863316,,,桃園市大園區和平東路89號3樓,,,,,20181022
桃園市政府,新屋家庭服務中心,,(03)4970225,,,桃園市新屋區中山路277號1樓,,,,,20181022
桃園市政府,觀音家庭服務中心,,(03)4732320,,,桃園市觀音區信義路52號,,,,,20181022
桃園市政府,復興家庭服務中心,,(03)3821110,,,桃園市復興區羅浮里合流6號,,,,,20181022
