性質,資源彙整機關,辦理單位,成立日期,立案文號,負責人,連絡電話,傳真,電子郵件,地址,核定服務人數_全日型住宿,核定服務人數_夜間型住宿,核定服務人數_日間照顧,核定服務人數_部分時制照顧,核定服務人數_總計,相關網址,X坐標,Y坐標,備註,最後更新時間
私立,桃園市政府,財團法人桃園市私立心燈啟智教養院,19920817,府社障字第0970075576號,游長和,(03)4205558,,,桃園市觀音區富源里8鄰富源12-10號,88,0,12,0,100,,,,,20181016
私立,桃園市政府,財團法人桃園市私立方舟啟智教養院,19951103,府社障字第1010221611號,呂俊賢,(03)4870110,,,桃園市新屋區九斗里2鄰九斗15-1號,95,0,0,0,60,,,,,20181016
私立,桃園市政府,財團法人桃園市私立路得啟智學園,19951221,府社障字第1070215927號,邱薰儀,(03)4980096,,,桃園市中壢區山東里山東路888號,69,0,7,0,76,,,,,20181016
私立,桃園市政府,財團法人桃園市私立安康啟智教養院,19960325,府社障字第1040085107號,何復山,(03)4031503,,,桃園市平鎮區新光路3段129號,40,0,0,0,40,,,,,20181016
私立,桃園市政府,財團法人桃園市私立平鎮教養院,19970127,府社障字第1040203766號,許銅,(03)4799855,,,桃園市平鎮區快速路1段399巷109號,80,0,0,0,80,,,,,20181016
私立,桃園市政府,財團法人桃園市私立聖愛教養院,19971015,府社障字第1010325698號,陳唐義梅,(03)4721829,,,桃園市楊梅區員本里2鄰員本路619號,150,0,0,0,150,,,,,20181016
私立,桃園市政府,財團法人桃園市私立真善美啟能發展中心,19980116,府社障字第1000155521號,謝秀琴,(03)4561455,,,桃園市中壢區龍昌里1鄰龍川九街18號,29,0,0,0,29,,,,,20181016
私立,桃園市政府,財團法人桃園市私立庭芳啟智教養院,19980512,府社障字第0970083047號,謝乾芳,(03)3072172,,,桃園市大溪區南興里南興路一段93號,52,0,0,0,52,,,,,20181016
私立,桃園市政府,財團法人桃園市私立嘉惠啟智教養院,19981027,府社障字第1020191681號,盧火雲,(03)3891874,,,桃園市大溪區瑞源里石園路386號,28,0,0,0,28,,,,,20181016
私立,桃園市政府,財團法人台灣省天主教會新竹教區附設桃園市私立愛家發展中心,20070124,府社障字第1010168424號,李克勉,(03)4388284,,,桃園市平鎮區貿東路66巷10、12、16號,18,0,22,0,40,,,,,20181016
私立,桃園市政府,財團法人桃園市私立脊髓損傷潛能發展中心,19990417,府社障字第1000251365號,林進興,(03)4909001,,,桃園市楊梅區高榮里1鄰快速路5段701號,20,0,0,0,20,,,,,20181016
私立,桃園市政府,財團法人桃園市私立長長教養院,19990917,府社障字第1000251365號,陳家祥,(03)3878801,,,桃園市大溪區文化路75巷1號1樓,21,0,0,0,21,,,,,20181016
私立,桃園市政府,財團法人桃園市私立龍潭啟智教養院,20011101,府社障字第1030034225號,吳米蘭,(03)4710916,,,桃園市龍潭區高原村6鄰福源路36號,23,0,0,0,23,,,,,20181016
私立,桃園市政府,財團法人桃園市私立誠信愛心家園,20020522,府社障字第1040025606號,呂真觀,(03)4986883,,,桃園市中壢區內厝里20鄰福祥路1段88號,90,0,0,0,90,,,,,20181016
私立,桃園市政府,財團法人桃園市私立祥育啟智教養院,20020315,府社障字第1060242267號,李錫昌,(03)3731168,,,桃園市八德區友聯街29巷24號,46,0,0,0,46,,,,,20181016
私立,桃園市政府,財團法人創世社會福利基金會附設桃園市私立創世清寒植物人安養院,20020315,府社障字第0970093538號,曹慶,(03)3397826,,,桃園市桃園區復興路70號3樓,58,0,0,0,58,,,,,20181016
私立,桃園市政府,財團法人桃園市私立仁友愛心家園,20021031,府社障字第1030066829號,謝秀琴,(03)3072035,,,桃園市大溪區仁善街268號,75,0,0,0,75,,,,,20181016
私立,桃園市政府,財團法人桃園市私立康福智能發展中心,20030930,府社障字第0970078197號,周祐嵐,(03)4192114,,,桃園市平鎮區東豐路205、207號,24,0,5,0,29,,,,,20181016
私立,桃園市政府,財團法人桃園市私立觀音愛心家園,20060727,府社障字第0970076054號,江金田,(03)4838118,,,桃園市觀音區保障村8鄰成功路1段250巷21號,70,0,0,0,70,,,,,20181016
私立,桃園市政府,財團法人桃園市樹仁基金會附設桃園教養院,20091215,府社障字第1040275076號,李崇仁,(03)4605225,,,桃園市平鎮區東勢里6鄰金陵路7段269號,125,0,0,0,125,,,,,20181016
私立,桃園市政府,財團法人桃園市真善美社會福利基金會附設希望家園,20120209,府社障字第1040154916號,謝秀琴,(03)4561455,,,桃園市中壢區龍昌里1鄰龍川九街28號,47,0,0,0,47,,,,,20181016
私立,桃園市政府,財團法人桃園市真善美社會福利基金會附設真善美家園,20130319,府社障字第1060184454號,謝秀琴,(03)4375769,,,桃園市中壢區龍昌里1鄰龍和三街326號,72,0,0,0,72,,,,,
