性質,資源彙整機關,辦理單位,成立日期,立案文號,負責人,連絡電話,傳真,電子郵件,地址,核定收容人數,收容對象_安養,收容對象_養護,收容對象_長照,收容對象_日照,收容對象_失智,收容對象_遊民,收容對象_其他,相關網址,X坐標,Y坐標,備註,最後更新時間
私立,桃園市政府,桃園市私立長安老人長期照顧中心(養護型),20000629,,邱創權,(03)3758059,,,桃園市桃園區延平路42號2樓,20,0,20,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立建元老人長期照顧中心(養護型),20000817,,劉張秀蓮,(03)3631755,,,桃園市桃園區大豐路56號1-2樓、60、62號1樓,38,0,38,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立逸園老人長期照顧中心(養護型),20111214,,曾明智,(03)3319523,,,桃園市桃園區民富五街5、7號1、2樓、5之2號3樓,48,0,48,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立慈家老人長期照顧中心(養護型),20010827,,蕭陳阿琴,(03)3331155,,,桃園市桃園區新生路165號6樓之1,40,0,40,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立慈庭老人長期照顧中心(長期照護型),20011017,,蕭陳阿琴,(03)3319379,,,桃園市桃園區新生路165號6樓之2,27,0,27,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立逸慈老人長期照顧中心(養護型) ,20020304,,李如雅,(03)3015051,,,桃園市桃園區寶慶路201號,49,3,46,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立台大老人長期照顧中心(養護型),20020625,,鄭淑卿,(03)3555036,,,桃園市桃園區經國路242號4樓,30,0,30,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立慈安老人長期照顧中心(養護型),20140520,,鄭美玲,(03)3609856,,,桃園市桃園區中山路956巷93號1樓,27,0,27,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立康全老人長期照顧中心(養護型),20070122,,許寶全,(03)3615577,,,桃園市桃園區樹林四街26號1、2樓(B1),38,0,38,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立家悅老人長期照顧中心(養護型),20070207,,周東耀,(03)3342139,,,桃園市桃園區新生路165號5樓之2,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立康益老人長期照顧中心(養護型),20161019,,周哲輝,(03)3347259,,,桃園市桃園區新生路165號5樓之1,21,0,21,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立陽光老人長期照顧中心(養護型),20140304,,蕭淑惠,(03)3618728,,,桃園市桃園區國際路一段264號1樓,15,0,15,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立同安老人長期照顧中心(養護型),20110527,,曾國銘,(03)3552546,,,桃園市桃園區新埔七街101號1樓,40,0,40,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立宜家老人長期照顧中心(養護型),20120229,,陳芷晴,(03)3568881,,,桃園市桃園區經國路242號2樓,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立康健老人長期照顧中心(養護型),20120221,,許松峰,(03)2552638,,,桃園市桃園區新埔七街101號2、3樓,48,0,48,0,0,0,0,0,,,,,20181011
