編號,鄉鎮市,教育事務基金會名稱
1,大溪鎮,財團法人武嶺幼兒圖書文教基金會
2,桃園市,財團法人福祿貝爾文教基金會
3,大園鄉,財團法人桃園縣大園鄉埔心國民小學教育事務基金會
4,龜山鄉,財團法人國立桃園高級農工職業學校崇學文教基金會
5,桃園市,財團法人國立桃園高級中學教育事務基金會
6,桃園區,財團法人桃園市後備軍人(子女)獎學金基金會
7,桃園市,財團法人新桃園文教基金會
8,觀音鄉,財團法人台灣杜邦公司桃園縣觀音鄉文教基金會(已更名)
9,八德區,財團法人桃園市八德區國民中小學文教基金會
10,龜山鄉,財團法人成功高級工商職業學校文教基金會
11,楊梅市,財團法人國立楊梅高級中學文教基金會
12,楊梅市,財團法人楊梅區國民中小學文教基金會
13,桃園市,財團法人國立陽明高級中學教育事務基金會
14,中壢區,財團法人桃園市中壢區國民中小學文教基金會
15,復興鄉,財團法人桃園縣復興鄉國民中小學文教基金會
16,桃園區,財團法人桃園市桃園區國民中小學教育事務基金會
17,龜山區,財團法人龜山區文教基金會
18,龍潭區,財團法人桃園市龍潭區國民中小學文教基金會
19,桃園區,財團法人桃園市童軍文教基金會
20,平鎮區,財團法人桃園市平鎮區國民中小學文教基金會
21,大溪區,財團法人桃園市大溪區國民中小學文教基金會
22,大園鄉,財團法人大園鄉國民中小學文教基金會
23,龜山鄉,財團法人光啟高中文教基金會
24,新屋區',財團法人桃園市新屋區文教基金會
25,中壢市,財團法人國立中壢高級商業職業學校文教基金會
26,大溪鎮,財團法人和平禪寺文教基金會
27,平鎮區,財團法人桃園市教育會文教基金會
28,桃園市,財團法人桃園啟智文教基金會
29,中壢市,財團法人東興文教基金會
30,桃園市,財團法人桃園縣少年友愛文教基金會
31,大園區,財團法人桃園市大園區后厝國民小學文教基金會
32,蘆竹區,財團法人新莊社區發展協會新莊國民小學文教基金會
33,大園區,財團法人桃園市大園區內海國民小學教育事務基金會
34,蘆竹鄉,財團法人桃園市蘆竹區社教文教基金會
35,蘆竹區,財團法人桃園市蘆竹區新興國民小學文教基金會
36,蘆竹鄉,財團法人桃園縣立南崁國民中學教育事務基金會
37,觀音鄉,財團法人梵天文教基金會
38,龜山鄉,財團法人桃園縣清廉文教基金會
39,蘆竹區,財團法人桃園市蘆竹區大竹國民小學文教基金會
40,桃園區,財團法人慈德文教基金會
