基金會名稱,董事長姓名,聯絡人,基金會會址,聯絡電話,Email
財團法人桃園市怡仁愛心基金會,楊 敏 盛,陳月珠,桃園市桃園區三民路3段106號15樓,3369066,cyc@e-ms.com.tw
財團法人桃園市護國宮愛心基金會,張雪娥,廖素鑾,桃園市桃園區愛三街196號,3353522,
財團法人桃園縣私立簡欣哲社會福利基金會,簡 欣 哲,蔣仲芬,桃園市桃園區國際路1段401巷123號,3621111,hg3877@ms51.hinet.net
財團法人桃園縣私立景福宮慈善基金會,郭明俊,簡小姐,桃園市桃園區復興路180號6樓G室,3366512,moda6230@yahoo.com.tw
財團法人桃園市私立天立社會福利基金會,李麗珠,陳文才先生,桃園市桃園區中正路208號,3324672,jingfugung@gmail.com
財團法人桃園縣私立心一慈善基金會,賴 金 盛,李先生,桃園市桃園區樹仁三街601號,3677666,
財團法人桃園縣私立國宏社會福利慈善事業基金會,吳 克 釗,梁修杰,桃園市平鎮區清泉街140號,3150090,scliang@ivyseals.com.tw
財團法人桃園市私立甡光社會福利基金會,楊 牡 真,吳克釗,桃園市平鎮區關爺東路19號,4586531,
財團法人桃園市香雲福利慈善基金會,范 進 村,許執行長,桃園市平鎮區平鎮里南平路2段516巷99號,4643380,wanitalee@yahoo.com.tw
財團法人桃園縣私立王啟奔慈善事業基金會,王 名 弘,宏觀師父,桃園市大溪區瑞興里大鶯路848號,3802639,h3270.h3270@msa.hinet.net
財團法人桃園縣私立元極康福慈善事業基金會,湯 陳 花 葉,王曼約,桃園市平鎮區新富里中豐路202巷16號1樓,4285766,
財團法人桃園縣私立三商社會福利慈善事業基金會,陳 河 東,湯茂松,桃園市桃園區莊敬路1段128號2樓,3262677,
財團法人桃園市忠義社會福利慈善事業基金會,陳 長 興 ,邱小玉,桃園市蘆竹鄉南崁路2段323號,02-25031111#5308,
財團法人桃園縣私立毅嘉科技社會福利慈善事業基金會,黃 秋 永,吳水嬌,桃園市桃園區大有路80號,3337748,
