"編號","財團法人名稱","區別","行政區域","住址","電話"
1,"財團法人基督教浸信會桃園溢恩堂","桃園區",68000010,"桃園市桃園區東國街55號","(03)3353106"
2,"財團法人桃園縣臺灣基督長老教會迦南教會","桃園區",68000010,"桃園區中華路49號","(03)3339075"
3,"財團法人桃園教會聚會所","中壢區",68000020,"桃園市中壢區中平路88巷3號","(03)4257191"
4,"財團法人臺灣省桃園縣中華福音道路德會仁愛堂區會","桃園區",68000010,"桃園區縣府路110號十三樓","(03)3625539"
5,"財團法人沙爾德聖保祿修女會","桃園區",68000010,"桃園區建新街123號","(03)3613141"
6,"財團法人臺灣基督長老教會桃園教會","桃園區",68000010,"桃園區民生路208號6樓","(03)3324063"
7,"財團法人臺灣省桃園縣福音信義會","桃園區",68000010,"桃園區大豐路222號","(03)3645900"
8,"財團法人桃園基督的教會","桃園區",68000010,"桃園區三民路三段286號5樓","(03)2810735"
9,"財團法人新約教會桃園教會","桃園區",68000010,"桃園區大業路二段58號七樓及64號七樓","(03)3252603"
10,"財團法人臺灣省桃園縣中國基督教靈糧世界佈道會桃園靈糧堂","桃園區",68000010,"桃園區中正路1067號五樓","(03)3569317"
11,"財團法人天主教麒田教會","桃園區",68000010,"桃園區中路里中山路956巷91弄5號","(03)3703517"
12,"財團法人桃園市基督教新歌教會","桃園區",68000010,"桃園區國華街2號","(03)3357581"
13,"財團法人中國基督教靈糧世界佈道會桃園市府靈糧堂","桃園區",68000010,"桃園區縣府路332-4號5樓","(03)3365919"
14,"財團法人臺灣省桃園縣基督恩典宣教團楊梅大台北世外桃源基督教會","楊梅區",68000040,"楊梅區裕成路132號","(06)6323143"
15,"財團法人天主教普慈方濟修女會","楊梅區",68000040,"楊梅區梅山西街89號","(03)4782040"
16,"財團法人臺灣省桃園縣基督徒聚會處","楊梅區",68000040,"楊梅區文化街177號","(03)4823543"
17,"財團法人新約教會楊梅教會","楊梅區",68000040,"楊梅區紅梅里環南路332號","(03)4786725"
18,"財團法人台灣省桃園縣中華基督教埔心浸信會","楊梅區",68000040,"楊梅區漢昌街15號","(03)4829405"
19,"財團法人台灣省桃園縣楊梅教會聚會所","中壢區",68000020,"中壢區中平路88巷3號","(03)4820607"
20,"財團法人桃園市基督教懷恩華人國際宣教會","大溪區",68000030,"大溪區介壽路1267巷55號","(03)3893191"
21,"財團法人臺灣省桃園縣基督教神召會山地區議會","大溪區",68000030,"大溪區仁和里2鄰員林路一段469巷13弄1號","(03)3803680"
22,"財團法人臺灣省桃園縣大溪鎮員樹林基督教會","大溪區",68000030,"大溪區員樹林三元二街2巷1弄90號","(03)3808763"
23,"財團法人桃園市大溪召會聚會所","中壢區",68000020,"中壢區中平路88巷3號","(03)4257191"
24,"財團法人臺灣省桃園縣基督教中壢播道會","平鎮區",68000100,"平鎮區環南路301巷12弄6號","(03)4502508"
25,"財團法人中華基督教平鎮浸信會","平鎮區",68000100,"平鎮區廣泰路303號","(03)4920146"
