編號,寺廟名稱,主祀神祇,住址,電話
1,財團法人桃園佛教蓮社,三寶佛,桃園區東門里7鄰朝陽街12號,(03)3397021
2,財團法人桃園鎮撫宮,保安廣澤尊王,桃園區青溪里鎮撫街43號,(03)3353719
3,財團法人桃園鴻福寺,西方三聖,桃園區民生路231號,(03)3321822
4,財團法人桃園市桃園蓮華寺,觀音菩薩,桃園區慈文路410號,(03)3550595
5,財團法人桃園市大樹林天后宮,天上聖母,桃園區福安里22鄰保羅街58號,(03)3626009
6,景福宮,開漳聖王,桃園區中正路208號,(03)3337552
7,金剛禪寺,釋迦牟尼佛觀世音菩薩,桃園區青溪里16鄰朝陽街230號,(03)2150051
8,桃園慈護宮,天上聖母,桃園區復興路275號,(03)3321498 
9,統天宮,關聖帝君,桃園區鎮撫街24巷9號,(03)3344875
10,福元宮,保安尊王,桃園區福元街246號,(03)3551614
11,鴻撫宮,保安廣澤尊王,桃園區鴻撫街6號,
12,武廟,關聖帝君,桃園區民生路167號,(03)3398175
13,福安堂,觀世音菩薩,桃園區朝陽街36巷15號,(03)3324385
14,宏善寺,南無釋迦牟尼佛,桃園區三元街407巷50號,(03)3328253
15,中南宮,福德正神,桃園區南門里14鄰文山街33號,(03)3320356
16,玉山宮,福德正神,桃園區玉山里22鄰大同西路122號,(03)3376756
17,西廟,觀音佛祖,桃園區西湖里1鄰中山路220號,(03)3678977
18,桃園市興德宮,福德正神,桃園區中興里12鄰保定六街16號,(03)3372076   
19,長德祠,福德正神,桃園區長德里中正5街212號,(03)3116598
20,護國宮,中壇元帥,桃園區中德里15鄰國際路1段401巷123號,(03)3677405 
21,晉福宮,福德正神,桃園區中聖里9鄰吉昌街232號,
22,福豐宮,福德正神,桃園區陽明公園內,(03)3678977
23,寶光紹興講堂,明明上帝,桃園區中埔里永安北路13巷11號,(03)3015708
24,宋天宮,楊府元帥〈延昭〉,桃園區桃鶯路87巷52號,(03)3629133
25,桃園市福德宮,福德正神,桃園區中山路2號,(03)3332697
26,明聖道院,關聖帝君,桃園區永佳街126號,(03)3413555
27,桃園永安宮,張李莫府千歲,桃園區大有路946巷203號,(03)3253416
28,育德講堂,觀世音菩薩,桃園區國際路1段700巷13號,(03)3665300
29,鳳山巖觀音寺,觀音佛祖,桃園區大有路946巷205號,(03)3252305
30,桃園市中山福德宮,福德正神,桃園區泰山里6鄰泰成路62巷67-3號,0932-272986
31,太極宮,三清道祖,桃園區忠義里三元街566號,(03)3343168
32,舊桃園媽祖堂,天上聖母,桃園區大林里13鄰桃鶯路338巷37號,(03)3645885
33,崇福寺,釋迦牟尼佛,桃園區長安里2鄰民光路168號,(03)3341637
34,如意龍田福德宮,土地公,桃園區三元街526號,(03)3383247
35,宏德宮,福德正神,桃園區龍岡里上海路226號之1,(03)3441985
36,聖母宮,天上聖母,桃園區新埔里南通路10號,(03)3550417    
37,福山祠,福德正神,桃園區光興里21鄰中山北路65號,(03)3323668
38,泓德佛堂,明明上帝,桃園區西埔里5鄰富國路717巷12-3號,(03)3018751
39,豐林宮,福德正神,桃園區三民路3段478號,(03)3381886
40,新永安宮,福德正神,桃園區正光路112巷102號,
41,桃園區文中宮,福德正神,桃園區文中三路21號,(03)3794388
42,桃園市慈善宮,玉皇大帝,桃園市桃園區中正三街180號,(03)3362241
43,大行福圓寺,釋迦摩尼佛,中壢區新街里延平路198號,
44,中路正成祠,福德正神,中壢區崇德路99號,
